episod,total_reward
959,20.7363985335
960,20.6376692707
961,20.7151147064
962,20.6826485329
963,20.5708890048
964,20.7155400349
965,20.7274780949
966,20.6568836302
967,20.5891702407
968,20.6275898352
969,20.7193206194
970,20.7362628304
971,20.6086074402
972,20.7484687001
973,20.6789203709
974,20.6497673347
975,20.6393632607
976,20.8379821518
977,20.6939030187
978,20.7833557653
979,20.7937374888
980,20.7963828747
981,20.8158613974
982,20.7995745496
983,20.7089198814
984,20.7030795528
985,20.6639556607
986,20.7858691407
987,20.6899869117
988,20.6093431998
989,20.5716354951
990,20.8452368095
991,20.664370915
992,20.6264473264
993,20.6329447439
994,20.934250204
995,20.6597423191
996,20.699254141
997,20.6325396309
998,20.7451938772
999,20.6305293975
1000,20.6429353578
