time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.64967937203e-08,8.9409502659e-07,10.0044845805,0.000635812169964,5.23261931509e-05,0.0,-4.47031144e-06,7.07747011847e-05,0.149477430286,0.0261098486005,0.00256176736441,0.0,452.18258339901394,452.3888495454304,451.31458059194193,453.41662186778063
0.12000000000000001,-1.85390311668e-06,2.28686621394e-05,10.0150049216,0.00210177787322,6.28301868957,0.0,-5.68883955875e-05,0.000805756513118,0.201192271975,0.0208483437972,-0.0205054820429,0.0,423.3607154948733,421.37169203127723,420.52432355762505,420.0685149539604
0.18,2.88933659586e-06,0.000127099793552,10.0333604897,0.00337378216626,6.28258147401,0.0,0.00030381672421,0.00281762643673,0.410607186335,0.0218943448868,0.0109204259096,0.0,468.87739263940614,471.31216470506786,470.670142879605,470.7510459896469
0.23999999999999996,3.18956332042e-05,0.000376206204396,10.0624708195,0.00468400082964,6.28301622731,0.0,0.000602101605318,0.00562905814302,0.559674865739,0.0217220076527,-0.00136024281651,0.0,452.54382598074386,451.55429157995684,452.7623843606678,452.7485243666779
0.3,7.20881280218e-05,0.00083442173151,10.1028007013,0.00620548524369,7.98569371909e-05,0.0,0.000725372887193,0.00981535985215,0.784526225404,0.0317854216821,0.0133617944338,0.0,473.50686410557876,474.63785261569245,475.99019612692257,476.7596615609818
0.36000000000000004,0.000109494734617,0.00158040046122,10.1560657969,0.00856654758189,0.00136152406536,0.0,0.000394785004131,0.015304567218,0.990818996526,0.0513042217007,0.0338578745528,0.0,468.37071680645266,469.9618322879275,470.2178609787494,471.7279639165077
0.4200000000000001,9.63098001638e-05,0.00269294557764,10.2191279135,0.011342637956,0.00321779635657,0.0,-0.001039019241,0.0220893863185,1.11113854775,0.0335826517011,0.0243448709179,0.0,445.30805997869476,444.5296190041877,444.4301880440047,442.9767014627317
0.48000000000000015,-4.59632580808e-05,0.00428669382987,10.2910536983,0.0132045847587,0.00466972816787,0.0,-0.00386751996425,0.0312533029007,1.28620359992,0.0253711107761,0.0239052739692,0.0,460.92407559930075,460.8893907581501,462.12894288272014,461.4815867359742
0.5400000000000001,-0.000389938662423,0.00646616280491,10.3730717706,0.0152843939696,0.00670883905353,0.0,-0.00779609153915,0.0415981214587,1.44753763537,0.0487070551767,0.048925155177,0.0,456.88391100693303,458.8745757281975,456.39726447116374,458.2562562778637
0.6000000000000002,-0.00100301432137,0.00927748980161,10.4621995729,0.0181681537273,0.0102307700043,0.0,-0.0129616913502,0.0523968535742,1.52328350572,0.0467421467335,0.0732917049649,0.0,430.859969889017,432.9173227347405,430.71825441612657,430.5535505744664
0.6600000000000003,-0.00198820966356,0.0127720689263,10.5546993427,0.0211586649592,0.0148801693643,0.0,-0.0202977039579,0.0643569940715,1.55998204374,0.0554127304799,0.0847817853738,0.0,418.1717730087522,419.17651735050384,418.4015181725452,419.1573644981468
0.7200000000000003,-0.0036022693389,0.0171774996311,10.6555951913,0.0249094101122,0.0193727763726,0.0,-0.0341185260251,0.0829217941894,1.80284123976,0.0738679569258,0.0308106163465,0.0,484.0640117219469,479.98893497040456,482.28282312211525,483.67701897642763
0.7800000000000004,-0.00602915766086,0.0226489010031,10.765344003,0.0301708315484,0.0215656531312,0.0,-0.0469698893306,0.0999245521033,1.85535079623,0.106465616129,0.0460778554069,0.0,424.6933290424497,426.00139060555705,423.0911549076747,425.89461431516594
0.8400000000000004,-0.009249824613,0.0292154365485,10.8772131056,0.0367166169424,0.0238209016232,0.0,-0.0606208339871,0.11954042592,1.87356337758,0.113893839764,0.0094035941387,0.0,415.73943282487977,412.5144076635593,413.0861332533906,413.7520486949158
0.9000000000000005,-0.0133553699141,0.0371299795556,10.9914994468,0.043120244961,0.024884860773,0.0,-0.0763103921559,0.144917777783,1.93584777628,0.0858606056547,0.0306339107448,0.0,426.9002004755094,428.7077813187714,430.33240820332844,427.96307138867587
0.9600000000000005,-0.0184895160857,0.0467930576195,11.1119448346,0.0483012758406,0.0274616372826,0.0,-0.0950688302657,0.177732645201,2.07871404986,0.0873121212659,0.0602543222742,0.0,453.32633625553433,455.70098771485004,453.8408546069093,453.96331933448096
1.0200000000000005,-0.0246777246007,0.0583040031207,11.236192334,0.0534448651867,0.03079891935,0.0,-0.111502792799,0.206406379138,2.06286305254,0.0823524807649,0.0442162776714,0.0,403.90373970104815,402.4571624222433,403.520471951742,403.07938830597567
1.0800000000000005,-0.0320215008533,0.0718222618277,11.3631514628,0.0579846523523,0.0335420338577,0.0,-0.13356182894,0.244683122107,2.16887020691,0.0568920703443,0.0485646855585,0.0,443.192326724954,443.55079370596945,444.47946360392564,442.39240001743235
1.1400000000000006,-0.0408172651345,0.0878465123065,11.4985206443,0.0616775050152,0.0364065476137,0.0,-0.159945707439,0.28983889129,2.34305150614,0.0695248234054,0.046043919397,0.0,464.34297312679143,464.14646680417206,464.963614255554,465.9546967988752
1.2000000000000006,-0.0513075884961,0.106744595519,11.6455730155,0.06548562478,0.0395316137679,0.0,-0.190068420484,0.340545224173,2.55818297836,0.0472156165612,0.0620315826759,0.0,477.09274296746753,478.3133283017259,478.7176021779798,477.01960870835666
1.2600000000000007,-0.0634259462342,0.128346283825,11.7991095262,0.0679898383664,0.0431120842416,0.0,-0.214197119544,0.379743073753,2.55965885559,0.0275652311595,0.0544884243227,0.0,412.41032039532456,411.746327437556,412.31452793925473,410.575856327926
